VariabelenaamODiN2023	VariabelelabelODiN2023	Niveau	CodeODiN2023	CodelabelODiN2023	Korteomschrijving	G	H	I	J	K	L
"OPBrom"	"Aantal bromfietsen op naam OP"	"P"	""	""	"Inclusief bromfietsen anders dan met twee wielen. Exclusief speedpedelecs."						
""	""	""	"0..8"	""	""						
""	""	""	"9"	"9 bromfietsen of meer"	""						
""	""	""	"10"	"Onbekend"	""						
"HHSnor"	"Aantal snorfietsen op naam huishouden"	"P"	""	""	"Inclusief snorfietsen anders dan met twee wielen. Exclusief speedpedelecs."						
""	""	""	"0..8"	""	""						
""	""	""	"9"	"9 snorfietsen of meer"	""						
""	""	""	"10"	"Onbekend"	""						
"OPSnor"	"Aantal snorfietsen op naam OP"	"P"	""	""	"Inclusief snorfietsen anders dan met twee wielen. Exclusief speedpedelecs."						
""	""	""	"0..8"	""	""						
""	""	""	"9"	"9 snorfietsen of meer"	""						
""	""	""	"10"	"Onbekend"	""						
"HHEFiets"	"Elektrische fiets in huishouden"	"P"	""	""	"Inclusief speedpedelecs."						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Onbekend"	""						
"HHBezitVm"	"Vervoermiddelenbezit huishouden"	"P"	""	""	""						
""	""	""	"0"	"Geen van de genoemde vervoermiddelen"	""						
""	""	""	"1"	"3 of meer auto's"	"Het betreft personenauto's inclusief leaseauto's."						
""	""	""	"2"	"2 auto's"	"Het betreft personenauto's inclusief leaseauto's."						
""	""	""	"3"	"1 auto"	"Het betreft een personenauto's (die eventueel geleased wordt)."						
""	""	""	"4"	"Minimaal 1 motor"	""						
""	""	""	"5"	"Minimaal 1 bromfiets"	"Exclusief speedpedelecs."						
""	""	""	"6"	"Minimaal 1 snorfiets"	"Exclusief speedpedelecs."						
""	""	""	"7"	"Minimaal 1 elektrische fiets"	"Inclusief speedpedelecs."						
""	""	""	"8"	"Vervoermiddelenbezit huishouden onbekend"	""						
"OPBezitVm"	"Vervoermiddelenbezit OP"	"P"	""	""	""						
""	""	""	"0"	"Geen van de genoemde vervoermiddelen"	""						
""	""	""	"1"	"3 of meer auto's"	"Het betreft personenauto's inclusief leaseauto's."						
""	""	""	"2"	"2 auto's"	"Het betreft personenauto's inclusief leaseauto's."						
""	""	""	"3"	"1 auto"	"Het betreft een personenauto's (die eventueel geleased wordt)."						
""	""	""	"4"	"Minimaal 1 motor"	""						
""	""	""	"5"	"Minimaal 1 bromfiets"	"Exclusief speedpedelecs."						
""	""	""	"6"	"Minimaal 1 snorfiets"	"Exclusief speedpedelecs."						
""	""	""	"7"	"Vervoermiddelenbezit OP onbekend"	""						
"FqLopen"	"Frequentie wandelen/lopen buitenshuis"	"P"	""	""	""						
""	""	""	"1"	"Dagelijks of vrijwel dagelijks"	""						
""	""	""	"2"	"Enkele keren per week"	""						
""	""	""	"3"	"Enkele keren per maand"	""						
""	""	""	"4"	"Enkele keren per jaar"	""						
""	""	""	"5"	"Nooit of bijna nooit"	""						
"FqNEFiets"	"Frequentie gebruik niet-elektrische fiets"	"P"	""	""	""						
""	""	""	"1"	"Dagelijks of vrijwel dagelijks"	""						
""	""	""	"2"	"Enkele keren per week"	""						
""	""	""	"3"	"Enkele keren per maand"	""						
""	""	""	"4"	"Enkele keren per jaar"	""						
""	""	""	"5"	"Nooit of bijna nooit"	""						
"FqEFiets"	"Frequentie gebruik elektrische fiets"	"P"	""	""	"Inclusief speedpedelecs."						
""	""	""	"1"	"Dagelijks of vrijwel dagelijks"	""						
""	""	""	"2"	"Enkele keren per week"	""						
""	""	""	"3"	"Enkele keren per maand"	""						
""	""	""	"4"	"Enkele keren per jaar"	""						
""	""	""	"5"	"Nooit of bijna nooit"	""						
"FqBTM"	"Frequentie gebruik bus, tram en/of metro"	"P"	""	""	""						
""	""	""	"1"	"Dagelijks of vrijwel dagelijks"	""						
""	""	""	"2"	"Enkele keren per week"	""						
""	""	""	"3"	"Enkele keren per maand"	""						
""	""	""	"4"	"Enkele keren per jaar"	""						
""	""	""	"5"	"Nooit of bijna nooit"	""						
"FqTrein"	"Frequentie gebruik trein"	"P"	""	""	""						
""	""	""	"1"	"Dagelijks of vrijwel dagelijks"	""						
""	""	""	"2"	"Enkele keren per week"	""						
""	""	""	"3"	"Enkele keren per maand"	""						
""	""	""	"4"	"Enkele keren per jaar"	""						
""	""	""	"5"	"Nooit of bijna nooit"	""						
"FqAutoB"	"Frequentie gebruik auto als bestuurder"	"P"	""	""	""						
""	""	""	"1"	"Dagelijks of vrijwel dagelijks"	""						
""	""	""	"2"	"Enkele keren per week"	""						
""	""	""	"3"	"Enkele keren per maand"	""						
""	""	""	"4"	"Enkele keren per jaar"	""						
""	""	""	"5"	"Nooit of bijna nooit"	""						
""	""	""	"6"	"Niet van toepassing; OP jonger dan 17 jaar"	""						
"FqAutoP"	"Frequentie gebruik auto als passagier"	"P"	""	""	""						
""	""	""	"1"	"Dagelijks of vrijwel dagelijks"	""						
""	""	""	"2"	"Enkele keren per week"	""						
""	""	""	"3"	"Enkele keren per maand"	""						
""	""	""	"4"	"Enkele keren per jaar"	""						
""	""	""	"5"	"Nooit of bijna nooit"	""						
"FqMotor"	"Frequentie gebruik motor"	"P"	""	""	""						
""	""	""	"1"	"Dagelijks of vrijwel dagelijks"	""						
""	""	""	"2"	"Enkele keren per week"	""						
""	""	""	"3"	"Enkele keren per maand"	""						
""	""	""	"4"	"Enkele keren per jaar"	""						
""	""	""	"5"	"Nooit of bijna nooit"	""						
"FqBrSnor"	"Frequentie gebruik brom- en/of snorfiets"	"P"	""	""	""						
""	""	""	"1"	"Dagelijks of vrijwel dagelijks"	""						
""	""	""	"2"	"Enkele keren per week"	""						
""	""	""	"3"	"Enkele keren per maand"	""						
""	""	""	"4"	"Enkele keren per jaar"	""						
""	""	""	"5"	"Nooit of bijna nooit"	""						
"OVStKaart"	"OP bezit Studenten OV-chipkaart"	"P"	""	""	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Studenten OV-chipkaart met weekabonnement"	""						
""	""	""	"2"	"Studenten OV-chipkaart met weekendabonnement"	""						
""	""	""	"3"	"Onbekend"	""						
""	""	""	"4"	"Niet van toepassing; OP jonger dan 15 jaar of 40 jaar of ouder"	""						
"WrkVervw"	"Vervoerwijze met meeste kilometers naar werk"	"P"	""	""	""						
""	""	""	"1"	"Te voet"	""						
""	""	""	"2"	"Fiets, elektrische fiets of speedpedelec"	""						
""	""	""	"3"	"Brom- of snorfiets"	""						
""	""	""	"4"	"Personenauto"	""						
""	""	""	"5"	"Bestelauto"	""						
""	""	""	"6"	"Motor"	""						
""	""	""	"7"	"Trein"	""						
""	""	""	"8"	"Bus, tram of metro"	""						
""	""	""	"9"	"Anders"	""						
""	""	""	"10"	"Onbekend"	""						
""	""	""	"11"	"Niet van toepassing; OP werkt altijd thuis"	""						
""	""	""	"12"	"Niet van toepassing; OP heeft geen betaald werk"	""						
""	""	""	"13"	"Niet van toepassing; OP jonger dan 15 jaar"	""						
"WrkVerg"	"Ontvangt vergoeding van werkgever voor reis naar werk"	"P"	""	""	""						
""	""	""	"0"	"Nee, geen vergoeding"	""						
""	""	""	"1"	"Ja, wel vergoeding"	""						
""	""	""	"2"	"Onbekend"	""						
""	""	""	"3"	"Niet van toepassing"	"Niet van toepassing vanwege vervoerwijze te voet, anders of onbekend, of omdat OP altijd thuiswerkt of geen betaald werk heeft of jonger dan 15 jaar is."						
"VergVast"	"Reiskostenvergoeding is vast bedrag per periode"	"P"	""	""	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Niet van toepassing"	"Niet van toepassing vanwege geen vergoeding of vergoeding onbekend, vanwege vervoerwijze te voet, anders of onbekend, of omdat OP altijd thuiswerkt of geen betaald werk heeft of jonger dan 15 jaar is."						
"VergKm"	"Vergoeding per daadwerkelijke gereden kilometer"	"P"	""	""	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Niet van toepassing"	"Niet van toepassing vanwege geen vergoeding of vergoeding onbekend, vanwege vervoerwijze te voet, anders of onbekend, of omdat OP altijd thuiswerkt of geen betaald werk heeft of jonger dan 15 jaar is."						
"VergBrSt"	"Vergoeding van brandstofkosten"	"P"	""	""	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Niet van toepassing"	"Niet van toepassing vanwege geen vergoeding of vergoeding onbekend, vanwege vervoerwijze te voet, fiets, trein, bus, tram of metro, anders of onbekend, of omdat OP altijd thuiswerkt of geen betaald werk heeft of jonger dan 15 jaar is."						
"VergOV"	"Vergoeding van OV-abonnement of OV-reizen"	"P"	""	""	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Niet van toepassing"	"Niet van toepassing vanwege geen vergoeding of vergoeding onbekend, indien vervoerwijze geen trein, bus, tram of metro, of omdat OP altijd thuiswerkt of geen betaald werk heeft of jonger dan 15 jaar is."						
"VergAans"	"Vergoeding van aanschafkosten vervoermiddel"	"P"	""	""	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Niet van toepassing"	"Niet van toepassing vanwege geen vergoeding of vergoeding onbekend, indien vervoerwijze geen fiets of brom-/snorfiets, of omdat OP altijd thuiswerkt of geen betaald werk heeft of jonger dan 15 jaar is."						
"VergVoer"	"Leasevoertuig of bedrijfsvoertuig werkgever"	"P"	""	""	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Niet van toepassing"	"Niet van toepassing vanwege geen vergoeding of vergoeding onbekend, vanwege vervoerwijze te voet, trein of bus, tram of metro, anders of onbekend, of omdat OP altijd thuiswerkt of geen betaald werk heeft of jonger dan 15 jaar is."						
"VergBudg"	"Vergoeding is mobiliteitsbudget"	"P"	""	""	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Niet van toepassing"	"Niet van toepassing vanwege geen vergoeding of vergoeding onbekend, vanwege vervoerwijze te voet, anders of onbekend, of omdat OP altijd thuiswerkt of geen betaald werk heeft of jonger dan 15 jaar is."						
"VergPark"	"Parkeerkosten"	"P"	""	""	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Niet van toepassing"	"Niet van toepassing vanwege geen vergoeding of vergoeding onbekend, vanwege vervoerwijze te voet, fiets, brom-/snorfiets, anders of onbekend, of omdat OP altijd thuiswerkt of geen betaald werk heeft of jonger dan 15 jaar is."						
"VergStal"	"Stallingskosten"	"P"	""	""	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Niet van toepassing"	"Niet van toepassing vanwege geen vergoeding of vergoeding onbekend, vanwege vervoerwijze te voet, personenauto, bestelauto, motor, anders of onbekend, of omdat OP altijd thuiswerkt of geen betaald werk heeft of jonger dan 15 jaar is."						
"VergAnd"	"Andere vergoeding"	"P"	""	""	""						
""	""	""	"0"	"Nee"	""						
""	""	""	"1"	"Ja"	""						
""	""	""	"2"	"Niet van toepassing"	"Niet van toepassing vanwege geen vergoeding of vergoeding onbekend, vanwege vervoerwijze te voet, anders of onbekend, of omdat OP altijd thuiswerkt of geen betaald werk heeft of jonger dan 15 jaar is."						
"BerWrk"	"Werklocatie, hoe vaak wel te bereiken als u er naartoe wilt?"	"P"	""	""	""						
""	""	""	"1"	"Altijd"	""						
""	""	""	"2"	"Vaak"	""						
""	""	""	"3"	"Soms"	""						
""	""	""	"4"	"Zelden"	""						
""	""	""	"5"	"Nooit"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; OP wil/hoeft hier nooit heen"	""						
""	""	""	"8"	"Niet van toepassing; OP jonger dan 15 jaar"	""						
"RdWrkA"	"Reden A werklocatie niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Onbekend"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"RdWrkB"	"Reden B werklocatie niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Niet van toepassing; Geen tweede reden opgegeven"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"BerOnd"	"Onderwijslocatie, hoe vaak wel te bereiken als u er naartoe wilt?"	"P"	""	""	""						
""	""	""	"1"	"Altijd"	""						
""	""	""	"2"	"Vaak"	""						
""	""	""	"3"	"Soms"	""						
""	""	""	"4"	"Zelden"	""						
""	""	""	"5"	"Nooit"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; OP wil/hoeft hier nooit heen"	""						
""	""	""	"8"	"Niet van toepassing; OP jonger dan 15 jaar"	""						
"RdOndA"	"Reden A onderwijslocatie niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Onbekend"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"RdOndB"	"Reden B onderwijslocatie niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Niet van toepassing; Geen tweede reden opgegeven"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"BerSup"	"Supermarkt, hoe vaak wel te bereiken als u er naartoe wilt?"	"P"	""	""	""						
""	""	""	"1"	"Altijd"	""						
""	""	""	"2"	"Vaak"	""						
""	""	""	"3"	"Soms"	""						
""	""	""	"4"	"Zelden"	""						
""	""	""	"5"	"Nooit"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; OP wil/hoeft hier nooit heen"	""						
""	""	""	"8"	"Niet van toepassing; OP jonger dan 15 jaar"	""						
"RdSupA"	"Reden A supermarkt niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Onbekend"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"RdSupB"	"Reden B supermarkt niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Niet van toepassing; Geen tweede reden opgegeven"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"BerZiek"	"Ziekenhuis, hoe vaak wel te bereiken als u er naartoe wilt?"	"P"	""	""	""						
""	""	""	"1"	"Altijd"	""						
""	""	""	"2"	"Vaak"	""						
""	""	""	"3"	"Soms"	""						
""	""	""	"4"	"Zelden"	""						
""	""	""	"5"	"Nooit"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; OP wil/hoeft hier nooit heen"	""						
""	""	""	"8"	"Niet van toepassing; OP jonger dan 15 jaar"	""						
"RdZiekA"	"Reden A ziekenhuis niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Onbekend"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"RdZiekB"	"Reden B ziekenhuis niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Niet van toepassing; Geen tweede reden opgegeven"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"BerArts"	"Huisarts, hoe vaak wel te bereiken als u er naartoe wilt?"	"P"	""	""	""						
""	""	""	"1"	"Altijd"	""						
""	""	""	"2"	"Vaak"	""						
""	""	""	"3"	"Soms"	""						
""	""	""	"4"	"Zelden"	""						
""	""	""	"5"	"Nooit"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; OP wil/hoeft hier nooit heen"	""						
""	""	""	"8"	"Niet van toepassing; OP jonger dan 15 jaar"	""						
"RdArtsA"	"Reden A huisarts niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Onbekend"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"RdArtsB"	"Reden B huisarts niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Niet van toepassing; Geen tweede reden opgegeven"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"BerStat"	"Treinstation, hoe vaak wel te bereiken als u er naartoe wilt?"	"P"	""	""	""						
""	""	""	"1"	"Altijd"	""						
""	""	""	"2"	"Vaak"	""						
""	""	""	"3"	"Soms"	""						
""	""	""	"4"	"Zelden"	""						
""	""	""	"5"	"Nooit"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; OP wil/hoeft hier nooit heen"	""						
""	""	""	"8"	"Niet van toepassing; OP jonger dan 15 jaar"	""						
"RdStatA"	"Reden A treinstation niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Onbekend"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"RdStatB"	"Reden B treinstation niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Niet van toepassing; Geen tweede reden opgegeven"	""						
""	""	""	"13"	"Niet van toepassing; Altijd of vaak bereikbaar"	""						
""	""	""	"14"	"Niet van toepassing; Vanwege andere reden"	"Niet van toepassing vanwege onbekende bereikbaarheid of omdat OP hier nooit heen wil/hoeft of omdat OP jonger is dan 15 jaar."						
"BerHalte"	"Halte bus, tram of metro, hoe vaak wel te bereiken als u er naartoe wilt?"	"P"	""	""	""						
""	""	""	"1"	"Altijd"	""						
""	""	""	"2"	"Vaak"	""						
""	""	""	"3"	"Soms"	""						
""	""	""	"4"	"Zelden"	""						
""	""	""	"5"	"Nooit"	""						
""	""	""	"6"	"Onbekend"	""						
""	""	""	"7"	"Niet van toepassing; OP wil/hoeft hier nooit heen"	""						
""	""	""	"8"	"Niet van toepassing; OP jonger dan 15 jaar"	""						
"RdHalteA"	"Reden A halte bus, tram of metro niet altijd kunnen bereiken"	"P"	""	""	""						
""	""	""	"1"	"Geen eigen vervoer"	""						
""	""	""	"2"	"Wil of kan niet fietsen"	""						
""	""	""	"3"	"Wil of kan niet met OV reizen"	""						
""	""	""	"4"	"Wil of kan niet met taxi reizen"	""						
""	""	""	"5"	"Kan niet zelfstandig reizen"	""						
""	""	""	"6"	"Vanwege gezondheid"	""						
""	""	""	"7"	"Reis duurt te lang"	""						
""	""	""	"8"	"Reis is te duur"	""						
""	""	""	"9"	"Verkeer is te druk"	""						
""	""	""	"10"	"Durft niet te reizen/onveilig gevoel"	""						
""	""	""	"11"	"Anders"	""						
""	""	""	"12"	"Onbekend"	""						
